208,John B. Cary Elementary
118,John B. Dey Elementary
2143,John C. Myers Elementary
7219,John Champe High School
142,John F. Kennedy Middle
849,John F. Pattie Sr. Elementary
44,John Handley High
7420,John Kerr Elementary
898,John L. Hurt Elementary
1143,John M. Gandy Elementary
7157,John Marshall Early Childhood Center
216,John Marshall High
229,John N. Dalton Intermediate
1090,John Randolph Tucker High
1114,John Redd Smith Elementary
1162,John Rolfe Middle
572,John S. Battle High
439,John Tyler Elementary
252,John Tyler Elementary
2655,John W. Tolbert Jr. Elementary
725,John W. Wayland Elementary
143,John Yeates Middle
512,Johnson Elementary
1496,Johnson-Williams Middle
2674,Jolliff Middle
1054,Jonesville Middle
352,Joseph H. Saunders Elementary
3809,Joseph P. King Jr. Middle
1758,Joseph T. Henley Middle
507,Joseph Van Pelt Elementary
997,Jouett Elementary
32,Kate Collins Middle
3076,Kate Waller Barrett Elementary
427,Kecoughtan High
1387,Keene Mill Elementary
1788,Kegotank Elementary
400,Keister Elementary
76,Kempsville Elementary
93,Kempsville High
122,Kempsville Meadows Elementary
50,Kempsville Middle
1001,Kenbridge Elementary
1704,Kenmore Middle
7086,Kenneth W.Culbert Elementary
1414,Kent Gardens Elementary
912,Kentuck Elementary
844,Kerrydale Elementary
5252,Kersey Creek Elementary
6880,Kettle Run High
1302,Key Center School
1301,Key Middle
136,Kilby Shores Elementary
1338,Kilmer Center
1337,Kilmer Middle
322,Kiln Creek Elementary
1085,King &amp; Queen Elementary
1083,King George Elementary
1084,King George High
1081,King George Middle
1088,King William High
3788,King's Fork High
2673,King's Fork Middle
123,King's Grant Elementary
1300,Kings Glen Elementary
1355,Kings Park Elementary
89,Kingston Elementary
1952,Kipps Elementary
1934,Kiptopeke Elementary
7529,Kyle R. Wilson Elementary School
2116,L. Douglas Wilder Middle
587,L.F. Addington Middle
346,L.F. Palmer Elementary
883,L.L. Beazley Elementary
974,LaCrosse Elementary
1126,Laburnum Elementary
760,Lacey Spring Elementary
41,Lafayette High
4462,Lafayette Upper Elementary
1366,Lake Anne Elementary
1487,Lake Braddock Secondary
853,Lake Ridge Elementary
816,Lake Ridge Middle
277,Lake Taylor High
273,Lake Taylor Middle
139,Lakeland High
1120,Lakeside Elementary
224,Lakeview Elementary
476,Lakeview Elementary
1043,Lancaster High
1044,Lancaster Middle
1045,Lancaster Primary
49,Landstown Elementary
2662,Landstown High
73,Landstown Middle
1998,Lane Elementary
1357,Langley High
1374,Lanier Middle
336,Larchmont Elementary
1955,Larkspur Middle
310,Larrymore Elementary
1575,Laurel Elementary
7066,Laurel Hill Elementary
6619,Laurel Meadow Elementary
1065,Laurel Park Middle
1308,Laurel Ridge Elementary
1087,Lawson-Marriott Elementary
730,Lebanon Elementary
726,Lebanon High
4289,Lebanon Middle
729,Lebanon Primary
1146,Lee Davis High
362,Lee Hall Elementary
1050,Lee High
1417,Lee High
643,Lee Hill Elementary
1256,Lee M. Waid Elementary
2064,Lee-Jackson Elementary
1296,Lees Corner Elementary
1015,Leesburg Elementary
1605,Leesville Road Elementary
2067,Leesylvania Elementary
4295,Legacy Elementary
1396,Lemon Road Elementary
604,Leslie Fox Keyser Elementary
1790,Leslie H. Walton Middle
6879,Lewis &amp; Clark Elementary
6660,Liberty Elementary
1691,Liberty High
1950,Liberty High
3070,Liberty Middle
1152,Liberty Middle
929,Lightfoot Elementary
1024,Lincoln Elementary
161,Lincoln Terrace Elementary
299,Lindenwood Elementary
115,Linkhorn Park Elementary
377,Linkhorne Elementary
376,Linkhorne Middle
758,Linville-Edom Elementary
2162,Linwood Holton Elementary
311,Little Creek Elementary
2216,Little River Elementary
1351,Little Run Elementary
651,Livingston Elementary
1593,Lloyd C. Bird High
864,Loch Lomond Elementary
928,Locust Grove Elementary
3603,Locust Grove Middle
7155,Locust Grove Primary School
7135,Lois Hornsby Middle
1294,London Towne Elementary
1700,Long Branch Elementary
1157,Longdale Elementary
1378,Longfellow Middle
1664,Lord Botetourt High
3626,Lorton Station Elementary
1029,Loudoun County High
1030,Loudoun Valley High
994,Louisa County High
993,Louisa County Middle
2225,Louise A. Benton Middle
991,Lovettsville Elementary
2119,Lowes Island Elementary
2128,Lucille M. Brown Middle
1018,Lucketts Elementary
999,Lunenburg Middle
940,Luray Elementary
936,Luray High
7064,Luray Middle
2002,Luther P. Jackson Middle
395,Luther W. Machen Elementary
77,Luxford Elementary
1823,Lylburn Downing Middle
